date,count
2007/5,130470
2007/6,3028
2007/7,2656
2007/8,1772
2007/9,1863
2007/10,2264
2007/11,2079
2007/12,1858
2008/1,1944
2008/2,8990
2008/3,1865
2008/4,2323
2008/5,1947
2008/6,1921
2008/7,2312
2008/8,1904
2008/9,2329
2008/10,2581
2008/11,35570
2008/12,5679
2009/1,3997
2009/2,3829
2009/3,3533
2009/4,3788
2009/5,2873
2009/6,4744
2009/7,4079
2009/8,3302
2009/9,10844
2009/10,65676
2009/11,118210
2009/12,4226
2010/1,4327
2010/2,4619
2010/3,4294
2010/4,7456
2010/5,4440
2010/6,3250
2010/7,3343
2010/8,2917
2010/9,3486
2010/10,4488
2010/11,8640
2010/12,4983
2011/1,4163
2011/2,6448
2011/3,5536
2011/4,4833
2011/5,5479
2011/6,4374
2011/7,5827
2011/8,5248
2011/9,5691
2011/10,4226
2011/11,5976
2011/12,4091
2012/1,4151
2012/2,4378
2012/3,4584
2012/4,4313
2012/5,4557
2012/6,4633
2012/7,4937
2012/8,6658
2012/9,4370
2012/10,5641
2012/11,4859
2012/12,4261
2013/1,5831
2013/2,5205
2013/3,5393
2013/4,5853
2013/5,10374
2013/6,5060
2013/7,5725
2013/8,5187
2013/9,5509
2013/10,6344
2013/11,5649
2013/12,5932
2014/1,6220
2014/2,6320
2014/3,6193
2014/4,6102
2014/5,6073
2014/6,5368
2014/7,6443
2014/8,5416
2014/9,6471
2014/10,8182
2014/11,18266
2014/12,7117
2015/1,6083
2015/2,5970
2015/3,16379
2015/4,6638
2015/5,51405
2015/6,79517
2015/7,7765
2015/8,7060
2015/9,9275
2015/10,8882
2015/11,7670
2015/12,8571
2016/1,9247
2016/2,8739
2016/3,9858
2016/4,9024
2016/5,9136
2016/6,9869
2016/7,7859
2016/8,19504
2016/9,15906
2016/10,9212
2016/11,15816
2016/12,9570
2017/1,9255
2017/2,9111
2017/3,10590
2017/4,9785
2017/5,10398
2017/6,9508
2017/7,8740
2017/8,13639
2017/9,10459
2017/10,10609
2017/11,11067
2017/12,9551
2018/1,10394
2018/2,10527
2018/3,11344
2018/4,10897
2018/5,12311
2018/6,10635
2018/7,11331
2018/8,12363
2018/9,10645
2018/10,12798
2018/11,11946
2018/12,11392
2019/1,11427
2019/2,12161
2019/3,12390
2019/4,12074
2019/5,13680
2019/6,11875
2019/7,13189
2019/8,18068
2019/9,13334
2019/10,14710
2019/11,11667
2019/12,11803
2020/1,15357
2020/2,12905
2020/3,13418
2020/4,14870
2020/5,14031
2020/6,15289
2020/7,17265
2020/8,14393
2020/9,14817
2020/10,16535
2020/11,14245
2020/12,15690
2021/1,15121
2021/2,15355
2021/3,18030
2021/4,15898
2021/5,15483
2021/6,17752
2021/7,16127
2021/8,15746
2021/9,17286
2021/10,16980
2021/11,16841
2021/12,16416
2022/1,15764
2022/2,16114
2022/3,20352
2022/4,17126
2022/5,18015
2022/6,19201
2022/7,18411
2022/8,19690
2022/9,20774
2022/10,23171
2022/11,24923
2022/12,22158
2023/1,22751
2023/2,25610
2023/3,18763
